@relation energy

@attribute Otimo numeric
@attribute Regular numeric
@attribute class {Otimo,Regular}
@attribute NodeNumberAttribute string

@data
100,0,Otimo,'67'
0,67,Regular,'68'
75,0,Otimo,'68'
76,0,Otimo,'69'
0,68,Regular,'69'
77,0,Otimo,'70'
0,69,Regular,'70'
0,70,Regular,'71'
78,0,Otimo,'71'
0,71,Regular,'72'
79,0,Otimo,'72'
80,0,Otimo,'73'
0,72,Regular,'73'
0,73,Regular,'74'
81,0,Otimo,'74'
82,0,Otimo,'75'
0,74,Regular,'75'
0,0,Regular,'76'
83,0,Otimo,'76'
0,1,Regular,'77'
84,0,Otimo,'77'
0,2,Regular,'78'
85,0,Otimo,'78'
0,3,Regular,'79'
86,0,Otimo,'79'
0,4,Regular,'80'
87,0,Otimo,'80'
0,5,Regular,'81'
88,0,Otimo,'81'
0,6,Regular,'82'
89,0,Otimo,'82'
90,0,Otimo,'83'
0,7,Regular,'83'
91,0,Otimo,'84'
0,8,Regular,'84'
92,0,Otimo,'85'
0,9,Regular,'85'
93,0,Otimo,'86'
0,10,Regular,'86'
94,0,Otimo,'87'
0,11,Regular,'87'
95,0,Otimo,'88'
0,12,Regular,'88'
96,0,Otimo,'89'
0,13,Regular,'89'
97,0,Otimo,'90'
0,14,Regular,'90'
98,0,Otimo,'91'
0,15,Regular,'91'
99,0,Otimo,'92'
0,16,Regular,'92'
100,0,Otimo,'93'
0,17,Regular,'93'
75,0,Otimo,'94'
0,18,Regular,'94'
76,0,Otimo,'95'
0,19,Regular,'95'
77,0,Otimo,'96'
0,20,Regular,'96'
78,0,Otimo,'97'
0,21,Regular,'97'
79,0,Otimo,'98'
0,22,Regular,'98'
75,0,Otimo,'1'
76,0,Otimo,'1'
76,0,Otimo,'2'
0,1,Regular,'2'
77,0,Otimo,'3'
0,2,Regular,'3'
78,0,Otimo,'4'
79,0,Otimo,'4'
80,0,Otimo,'5'
0,4,Regular,'5'
81,0,Otimo,'6'
0,5,Regular,'6'
82,0,Otimo,'7'
0,6,Regular,'7'
0,7,Regular,'8'
82,0,Otimo,'8'
83,0,Otimo,'9'
84,0,Otimo,'9'
0,9,Regular,'10'
85,0,Otimo,'10'
86,0,Otimo,'11'
0,10,Regular,'11'
0,11,Regular,'12'
87,0,Otimo,'12'
87,0,Otimo,'13'
0,12,Regular,'13'
0,13,Regular,'14'
89,0,Otimo,'14'
90,0,Otimo,'15'
91,0,Otimo,'15'
92,0,Otimo,'15'
0,14,Regular,'15'
0,15,Regular,'16'
93,0,Otimo,'16'
94,0,Otimo,'17'
0,16,Regular,'17'
95,0,Otimo,'18'
96,0,Otimo,'19'
97,0,Otimo,'20'
98,0,Otimo,'21'
0,17,Regular,'21'
99,0,Otimo,'22'
0,18,Regular,'22'
0,19,Regular,'23'
100,0,Otimo,'23'
75,0,Otimo,'24'
0,23,Regular,'24'
0,24,Regular,'25'
76,0,Otimo,'25'
77,0,Otimo,'26'
78,0,Otimo,'26'
79,0,Otimo,'26'
0,25,Regular,'26'
0,26,Regular,'27'
80,0,Otimo,'27'
81,0,Otimo,'28'
82,0,Otimo,'29'
83,0,Otimo,'30'
0,29,Regular,'30'
0,30,Regular,'31'
84,0,Otimo,'31'
0,31,Regular,'32'
85,0,Otimo,'32'
86,0,Otimo,'33'
0,32,Regular,'33'
0,33,Regular,'34'
87,0,Otimo,'34'
88,0,Otimo,'35'
0,34,Regular,'35'
89,0,Otimo,'36'
90,0,Otimo,'37'
91,0,Otimo,'38'
0,37,Regular,'38'
0,38,Regular,'39'
92,0,Otimo,'39'
93,0,Otimo,'40'
0,39,Regular,'40'
0,40,Regular,'41'
94,0,Otimo,'41'
95,0,Otimo,'42'
96,0,Otimo,'42'
0,41,Regular,'42'
97,0,Otimo,'43'
98,0,Otimo,'43'
0,42,Regular,'43'
0,43,Regular,'44'
99,0,Otimo,'44'
0,44,Regular,'45'
100,0,Otimo,'45'
0,45,Regular,'46'
75,0,Otimo,'46'
0,46,Regular,'47'
76,0,Otimo,'47'
0,47,Regular,'48'
77,0,Otimo,'48'
0,48,Regular,'49'
78,0,Otimo,'49'
0,49,Regular,'50'
79,0,Otimo,'50'
80,0,Otimo,'50'
81,0,Otimo,'50'
0,50,Regular,'51'
82,0,Otimo,'51'
0,51,Regular,'52'
83,0,Otimo,'52'
84,0,Otimo,'53'
0,53,Regular,'54'
85,0,Otimo,'54'
0,54,Regular,'55'
86,0,Otimo,'55'
0,55,Regular,'56'
87,0,Otimo,'56'
0,56,Regular,'57'
88,0,Otimo,'57'
89,0,Otimo,'57'
90,0,Otimo,'57'
0,57,Regular,'58'
91,0,Otimo,'58'
0,58,Regular,'59'
92,0,Otimo,'59'
0,59,Regular,'60'
93,0,Otimo,'60'
0,60,Regular,'61'
94,0,Otimo,'61'
0,61,Regular,'62'
95,0,Otimo,'62'
0,62,Regular,'63'
96,0,Otimo,'63'
97,0,Otimo,'64'
0,63,Regular,'64'
0,64,Regular,'65'
98,0,Otimo,'65'
0,65,Regular,'66'
99,0,Otimo,'66'
0,66,Regular,'67'
100,0,Otimo,'67'
0,67,Regular,'68'
75,0,Otimo,'68'
76,0,Otimo,'69'
0,68,Regular,'69'
77,0,Otimo,'70'
0,69,Regular,'70'
0,70,Regular,'71'
78,0,Otimo,'71'
0,71,Regular,'72'
79,0,Otimo,'72'
80,0,Otimo,'73'
0,72,Regular,'73'
0,73,Regular,'74'
81,0,Otimo,'74'
82,0,Otimo,'75'
0,74,Regular,'75'
0,0,Regular,'76'
83,0,Otimo,'76'
0,1,Regular,'77'
84,0,Otimo,'77'
0,2,Regular,'78'
85,0,Otimo,'78'
0,3,Regular,'79'
86,0,Otimo,'79'
0,4,Regular,'80'
87,0,Otimo,'80'
0,5,Regular,'81'
88,0,Otimo,'81'
0,6,Regular,'82'
89,0,Otimo,'82'
90,0,Otimo,'83'
0,7,Regular,'83'
91,0,Otimo,'84'
0,8,Regular,'84'
92,0,Otimo,'85'
0,9,Regular,'85'
93,0,Otimo,'86'
0,10,Regular,'86'
94,0,Otimo,'87'
0,11,Regular,'87'
95,0,Otimo,'88'
0,12,Regular,'88'
96,0,Otimo,'89'
0,13,Regular,'89'
97,0,Otimo,'90'
0,14,Regular,'90'
98,0,Otimo,'91'
0,15,Regular,'91'
99,0,Otimo,'92'
0,16,Regular,'92'
100,0,Otimo,'93'
0,17,Regular,'93'
75,0,Otimo,'94'
0,18,Regular,'94'
76,0,Otimo,'95'
0,19,Regular,'95'
77,0,Otimo,'96'
0,20,Regular,'96'
78,0,Otimo,'97'
0,21,Regular,'97'
79,0,Otimo,'98'
0,22,Regular,'98'
91.0, 0.0, ?, ?
